epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.41,1.55737,2.06667,1.40348,0.81065,0.78646,0.81206,0.45463,1.47834,1.24892,1.35221,0.00332752,0.00332752,0.00332752
2,452.826,1.45693,1.35104,1.30989,0.82225,0.76262,0.82115,0.46015,1.46911,1.08807,1.37255,0.00664436,0.00664436,0.00664436
3,643.212,1.51476,1.26283,1.36883,0.71137,0.72718,0.73156,0.41455,1.53643,1.24353,1.46444,0.00994471,0.00994471,0.00994471
4,830.387,1.49751,1.14288,1.37738,0.78634,0.79637,0.81399,0.46373,1.47221,0.98869,1.42922,0.00992575,0.00992575,0.00992575
5,1017.76,1.45679,1.06103,1.37055,0.82423,0.81376,0.85877,0.50245,1.42284,0.89974,1.40423,0.009901,0.009901,0.009901
6,1178.77,1.42778,1.00049,1.35177,0.83255,0.81758,0.86622,0.52539,1.38345,0.84381,1.36984,0.00987625,0.00987625,0.00987625
7,1398.71,1.4086,0.96111,1.34535,0.84159,0.83974,0.88142,0.53856,1.35099,0.78948,1.37198,0.0098515,0.0098515,0.0098515
8,1537.6,1.38965,0.93205,1.33757,0.86021,0.82525,0.88394,0.54509,1.3344,0.76228,1.35448,0.00982675,0.00982675,0.00982675
9,1684.5,1.37647,0.9132,1.3308,0.82575,0.86756,0.88597,0.56005,1.30423,0.74059,1.33315,0.009802,0.009802,0.009802
10,1844.3,1.35878,0.88984,1.32345,0.83325,0.87778,0.90435,0.56656,1.29075,0.72532,1.32576,0.00977725,0.00977725,0.00977725
11,1992.94,1.34968,0.87055,1.31729,0.8593,0.86476,0.90175,0.56423,1.29885,0.71111,1.33499,0.0097525,0.0097525,0.0097525
12,2189.94,1.33798,0.85995,1.31083,0.84876,0.86302,0.90431,0.571,1.27451,0.71615,1.31899,0.00972775,0.00972775,0.00972775
13,2415.89,1.3306,0.84325,1.30329,0.84267,0.86318,0.899,0.57202,1.27821,0.7027,1.3155,0.009703,0.009703,0.009703
14,2551.28,1.31793,0.83906,1.29618,0.83986,0.87511,0.90672,0.57665,1.2652,0.68665,1.30602,0.00967825,0.00967825,0.00967825
